         17128 function calls (16968 primitive calls) in 88.684 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       20    0.000    0.000    0.000    0.000 {built-in method _winapi.WriteFile}
       49    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
  549/534    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      467    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.000    0.000 __init__.py:200(_is_internal_frame)
       10    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
    27/20    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 context.py:115(Pool)
      157    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 file_handler.py:7(read_text_file)
        4    0.000    0.000    0.000    0.000 spawn.py:83(get_command_line)
      456    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 threading.py:882(__init__)
       12    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:1282(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        3    0.000    0.000    0.000    0.000 synchronize.py:168(__init__)
      100    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      232    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       34    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        3    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
        8    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        5    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        1    0.000    0.000    0.000    0.000 pathlib.py:1306(mkdir)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:200(makedirs)
       11    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
        4    0.000    0.000    0.000    0.000 pool.py:179(Process)
        9    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
        5    0.000    0.000    0.000    0.000 connection.py:182(send_bytes)
        4    0.000    0.000    0.000    0.000 popen_spawn_win32.py:29(_close_handles)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
